Brand_Partner,Offer_Detail,Platform,Redemption_Type
SHEIN,15% Student Discount,Student Beans,online at SHEIN
NinjaKitchen,10% Student Discount,Student Beans,online at NinjaKitchen
Amazon,FREE Amazon Prime for 6 months,Student Beans,online at Amazon
HouseofFraser,10% Student Discount,Student Beans,online at HouseofFraser
FlixBus,10% Student Discount in the FlixBus App,Student Beans,online at FlixBus
Debenhams,Extra 10% Student Discount,Student Beans,online at Debenhams
JohnLewis,Claim a £100 e-gift card when you buy selected tech products,Student Beans,online at JohnLewis
O2,20% Student Discount,Student Beans,online at O2
&OtherStories,10% Student Discount,Student Beans,online at &OtherStories
OliverBonas,10% Student Discount,Student Beans,online at OliverBonas
TedBaker,15% Student Discount,Student Beans,online at TedBaker
OliverBonas,10% Student Discount,Student Beans,instore at OliverBonas
Wild,15% Student Discount,Student Beans,online at Wild
ErnestJones,15% Student Discount,Student Beans,online at ErnestJones
OnlineHomeShop,5% Student Discount,Student Beans,online at OnlineHomeShop
Dreams,10% Student Discount,Student Beans,online at Dreams
Wowcher,10% Student Discount,Student Beans,online at Wowcher
WhittardofChelsea,10% Student Discount,Student Beans,online at WhittardofChelsea
BTShop,10% off BT Products,Student Beans,online at BTShop
RobertDyas,5% Student Discount,Student Beans,online at RobertDyas
Homebase,10% Student Discount,Student Beans,online at Homebase
LaptopOutlet,Up to 15% Student Discount,Student Beans,online at LaptopOutlet
Coast,20% off everything + Extra 20% Student Discount,Student Beans,online at Coast
&OtherStories,10% Student Discount,Student Beans,instore at &OtherStories
Shark,10% Student Discount,Student Beans,online at Shark
Redbubble,15% Student Discount,Student Beans,online at Redbubble
Dell,"8% off XPS, Alienware, Latitude, Optiplex & Precision",Student Beans,online at Dell
HarveyNichols,10% Student Discount,Student Beans,online at HarveyNichols
UGG,10% Student Discount,Student Beans,online at UGG
Wilko,10% off a spend over £50,Student Beans,online at Wilko
DUSK,Up to 50% Off Sale + 15% Student Discount,Student Beans,online at DUSK
Samsung,Up to £850 on new 2023 TV range + claim up to £500 cashback*,Student Beans,online at Samsung
YankeeCandle,12.5% Student Discount + free delivery*,Student Beans,online at YankeeCandle
LibertyLondon,15% Student Discount for new customers,Student Beans,online at LibertyLondon
Samsung,Up to 50% on vacuum cleaners*,Student Beans,online at Samsung
Hughes,6% Student Discount,Student Beans,online at Hughes
Chilly's,10% Student Discount,Student Beans,online at Chilly's
EmmaMattress,Up to 55% off + Extra 5% Student Discount,Student Beans,online at EmmaMattress
Greggs,Join the Greggs team,Student Beans,online at Greggs
LibertyLondon,10% Student Discount for existing customers,Student Beans,online at LibertyLondon
Accessorize,10% Student Discount,Student Beans,online at Accessorize
CassArt,10% Student Discount,Student Beans,online at CassArt
VirginMedia,Buy now and get up to £50 bill credit,Student Beans,online at VirginMedia
TedBaker,15% Student Discount,Student Beans,instore at TedBaker
Mattressman,20% off mattresses only,Student Beans,online at Mattressman
TfLSantanderCycles,25% off a year’s Santander Cycles,Student Beans,online at TfLSantanderCycles
Hyperoptic,Fast Fibre Broadband from £23 a month,Student Beans,online at Hyperoptic
notonthehighstreet,10% Student Discount,Student Beans,online at notonthehighstreet
Homebase,5% Student Discount,Student Beans,online at Homebase
G.FSmith,20% Online Discount on Full Priced Items,Student Beans,online at G.FSmith
Ryman,10% Student Discount,Student Beans,online at Ryman
ProCook,10% off £30 spend,Student Beans,online at ProCook
Samsung,Up to £400 off on Galaxy Tab S8 Ultra,Student Beans,online at Samsung
Photobox,50% Student Discount,Student Beans,online at Photobox
Fenwick,10% Student Discount,Student Beans,online at Fenwick
LloydsPharmacy,15% Student Discount,Student Beans,online at LloydsPharmacy
CommunityFibre,Claim 3 months free for Students,Student Beans,online at CommunityFibre
Sonos,15% Student Discount,Student Beans,online at Sonos
FurnitureNow!,33% Student Discount,Student Beans,online at FurnitureNow!
Shark,20% Off Shark Anti Hair Wrap Cordless Pet Vacuum,Student Beans,online at Shark
Canterbury,15% Student Discount,Student Beans,online at Canterbury
Marshall,15% off on headphones,Student Beans,online at Marshall
Gillette,10% Student Discount,Student Beans,online at Gillette
Dreams,10% Student Discount,Student Beans,instore at Dreams
Shark,Shark Anti Hair Wrap Cordless Stick Vacuum Cleaner now £189,Student Beans,online at Shark
JuicyCouture,15% OFF JUICY COUTURE,Student Beans,online at JuicyCouture
Aosom,12% Student Discount,Student Beans,online at Aosom
NinjaKitchen,10% off Ninja Foodi Power Nutri Blender 3-in-1,Student Beans,online at NinjaKitchen
easyStorage,£20 Off First Month,Student Beans,online at easyStorage
Dell,"10% off S, SE, P, U, E, C monitors",Student Beans,online at Dell
OurPlace,15% Student Discount,Student Beans,online at OurPlace
Coggles,10% Student Discount on Selected Lines,Student Beans,online at Coggles
CultFurniture,10% Student Discount,Student Beans,online at CultFurniture
Logitech,10% Student Discount on Logitech’s latest product releases,Student Beans,online at Logitech
Contrado,Up to 40% Student Discount,Student Beans,online at Contrado
HartsOfStur,10% Student Discount,Student Beans,online at HartsOfStur
katespade,10% Student Discount,Student Beans,online at katespade
Dell,20% off accessories,Student Beans,online at Dell
Desenio,Extra 10% student discount on posters,Student Beans,online at Desenio
Griggs,10% Student Discount,Student Beans,online at Griggs
Salter,20% Student Discount,Student Beans,online at Salter
OceanBottle,10% Student Discount,Student Beans,online at OceanBottle
Safestore,Up to 50% Student Discount,Student Beans,online at Safestore
Beko,15% Student Discount,Student Beans,online at Beko
GOVEE,12% Student Discount,Student Beans,online at GOVEE
MUJI,10% Student Discount,Student Beans,online at MUJI
Stackers,10% Student Discount,Student Beans,online at Stackers
Kudd.ly,15% Student Discount,Student Beans,online at Kudd.ly
IKRUSH,10% Student Discount,Student Beans,online at IKRUSH
furn,12% Off sitewide,Student Beans,online at furn
BritishHeartFoundation,10% Student Discount,Student Beans,instore at BritishHeartFoundation
BagsOfLove,Up to 40% Student Discount,Student Beans,online at BagsOfLove
TheFragranceShop,Students get an Extra 15% off Home Fragrance!,Student Beans,online at TheFragranceShop
JosephJoseph,20% Student Discount,Student Beans,online at JosephJoseph
Dell,"4% off Inspiron , Alienware N-1 Gen & Vostro",Student Beans,online at Dell
HomeFitnessCode,5% off on all orders,Student Beans,online at HomeFitnessCode
KleanKanteen,15% Student Discount,Student Beans,online at KleanKanteen
Trouva,10% Student Discount,Student Beans,online at Trouva
SpaceWays,£10 Student Discount,Student Beans,online at SpaceWays
BigYellowSelfStorage,50% off Student Storage,Student Beans,online at BigYellowSelfStorage
PhotoFrames&Art,15% Student Discount,Student Beans,online at PhotoFrames&Art
Lights.co.uk,12% Student Discount,Student Beans,online at Lights.co.uk
PassMeFast,FREE tips on passing your driving test,Student Beans,online at PassMeFast
Desenio,"Desenio outlet, prints & canvas from £5",Student Beans,online at Desenio
LondonGraphicCentre,15% Student Discount,Student Beans,online at LondonGraphicCentre
Protyre,£20 OFF 2 TYRES or more,Student Beans,online at Protyre
Time4Sleep,10% Student Discount,Student Beans,online at Time4Sleep
OTTY,Extra 7% Student Discount,Student Beans,online at OTTY
Beldray,20% Student Discount,Student Beans,online at Beldray
BillingBetter,10% Student Discount,Student Beans,online at BillingBetter
ecoegg,50% off ecoegg Laundry Eggs,Student Beans,online at ecoegg
ChristiesDirect,10% Student Discount ,Student Beans,online at ChristiesDirect
StorageInn,Student Storage from £2/week,Student Beans,online at StorageInn
Desenio,Desenio posters from £15,Student Beans,online at Desenio
SleepyPeople,15% Student Discount,Student Beans,online at SleepyPeople
AxminsterTools,10% Student Discount,Student Beans,online at AxminsterTools
StorageWorld,Exclusive Student Discount,Student Beans,online at StorageWorld
Cox&Cox,25% Student Discount,Student Beans,online at Cox&Cox
KeepCup,10% Student Discount,Student Beans,online at KeepCup
STORED,50% Student Discount,Student Beans,online at STORED
HYPE,15% Student Discount,Student Beans,online at HYPE
Downtown,10% Student Discount,Student Beans,online at Downtown
StorageGiant,10 SQ FT Locker for £5 per week,Student Beans,online at StorageGiant
TheCreamStore,10% Student Discount,Student Beans,online at TheCreamStore
SelfStore24-7,10% Student Discount,Student Beans,online at SelfStore24-7
BritanniaRobbins,Exclusive Student Discount,Student Beans,online at BritanniaRobbins
Groomers,10% Student Discount ,Student Beans,online at Groomers
AbcCars,5% Student Discount,Student Beans,online at AbcCars
Olight,15% Student Discount,Student Beans,online at Olight
TheGoldenRetrieverExperience,Up to £80 Student Session,Student Beans,online at TheGoldenRetrieverExperience
only5pounds.com,5% Student Discount,Student Beans,online at only5pounds.com
Samsung,"Get the Galaxy S22, available from just £599*",Student Beans,online at Samsung
Wedgwood,10% Student Discount,Student Beans,online at Wedgwood
Azazie,10% Student Discount,Student Beans,online at Azazie
Shark,Shark Anti Hair Wrap Upright Vacuum Cleaner with Lift-Away,Student Beans,online at Shark
Hoover,20% Student Discount,Student Beans,online at Hoover
IWOOT,10% Student Discount,Student Beans,online at IWOOT
AeroPress,10% Student Discount,Student Beans,online at AeroPress
ZWILLING,15% Student Discount,Student Beans,online at ZWILLING
LILYSILK,12% Student Discount,Student Beans,online at LILYSILK
Christy,25% Student Discount,Student Beans,online at Christy
OTTY,41% Student Discount,Student Beans,online at OTTY
Asgardsheds,10% Student Discount,Student Beans,online at Asgardsheds
Lights4fun,10% Student Discount,Student Beans,online at Lights4fun
ecoegg,15% off Laundry Egg Refills,Student Beans,online at ecoegg
Jarrolddepartmentstore,10% Student Discount,Student Beans,online at Jarrolddepartmentstore
KallySleep,20% Student Discount,Student Beans,online at KallySleep
tails.com,First Month Free + more savings each month if you stay,Student Beans,online at tails.com
VEVOR,6% Student Discount,Student Beans,online at VEVOR
Beliani,10% Student Discount,Student Beans,online at Beliani
Ink&Drop,20% off all print orders,Student Beans,online at Ink&Drop
sazy,15% Student Discount + Free UK Mainland Delivery on Orders Over £50,Student Beans,online at sazy
JohnMasonInternational,10% Student Discount,Student Beans,online at JohnMasonInternational
Prinfab,10% Student Discount,Student Beans,online at Prinfab
SO-SURE,£15 Amazon voucher with Mobile Insurance,Student Beans,online at SO-SURE
BTShop,£50 off the Kobo Libra 2 E-Reader,Student Beans,online at BTShop
Cheapfabrics,10% Student Discount,Student Beans,online at Cheapfabrics
Miniml,10% Student Discount,Student Beans,online at Miniml
Poo~Pourri,10% Student Discount,Student Beans,online at Poo~Pourri
OLIVIAROCCO,10% Student Discount,Student Beans,online at OLIVIAROCCO
LivingandHome,10% Student Discount,Student Beans,online at LivingandHome
ShootGardening,10% Student Discount,Student Beans,online at ShootGardening
PaperTiger,10% Student Discount,Student Beans,online at PaperTiger
YuMove,30% Student Discount,Student Beans,online at YuMove
SpaceStation,Exclusive Student Discount,Student Beans,online at SpaceStation
Laundryheap,7% Student Discount,Student Beans,online at Laundryheap
ChoiceDiscount,10% Student Discount,Student Beans,online at ChoiceDiscount
Abakhan,10% Student Discount,Student Beans,online at Abakhan
BarnettLawsonTrimmings,10% Student Discount,Student Beans,online at BarnettLawsonTrimmings
EngineDIY,12% Student Discount,Student Beans,online at EngineDIY
ScottStorage,Special Student deal from £9.95/week,Student Beans,online at ScottStorage
EssenceNo1,15% Student Discount,Student Beans,online at EssenceNo1
SimplyMovers,10% Student Discount,Student Beans,online at SimplyMovers
Wild,10% Student Discount,Student Beans,online at Wild
TitanStorage,50% Student Discount,Student Beans,online at TitanStorage
AZMovers,Exclusive Student Discount,Student Beans,online at AZMovers
VanguardSelfStorage,20% Student Discount,Student Beans,online at VanguardSelfStorage
Ecohuman,10% Student Discount,Student Beans,online at Ecohuman
CreativeGlass,10% Student Discount,Student Beans,online at CreativeGlass
MyFabrics,10% Student Discount,Student Beans,online at MyFabrics
Cooksongold,10% Student Discount,Student Beans,online at Cooksongold
Huddle,Free £50 Credit,Student Beans,online at Huddle
HaufsonCookware,15% Student Discount,Student Beans,online at HaufsonCookware
ValueLights,15% Student Discount,Student Beans,online at ValueLights
colur,20% Student Discount,Student Beans,online at colur
BacktotheOffice,5% Student Discount,Student Beans,online at BacktotheOffice
Selk’bag,15% Student Discount,Student Beans,online at Selk’bag
TheGreenRegister,Exclusive Student Discount,Student Beans,online at TheGreenRegister
RoyalDoulton,15% Off Sitewide,Student Beans,online at RoyalDoulton
Milly's,10% Student Discount,Student Beans,online at Milly's
WarmGlass,10% Student Discount,Student Beans,online at WarmGlass
OceanSaver,15% Student Discount,Student Beans,online at OceanSaver
Natici,42% off everything,Student Beans,online at Natici
RyansRemovalsSelfStorage,10% Student Discount,Student Beans,online at RyansRemovalsSelfStorage
SouthDurhamRemovals,10% Student Discount,Student Beans,online at SouthDurhamRemovals
SimplyShip,10% Student Discount,Student Beans,online at SimplyShip
A&SSelfStorage,Student Storage for £6.60/week,Student Beans,online at A&SSelfStorage
DurhamSelfStore,Free collection & Drop off,Student Beans,online at DurhamSelfStore
PeaksStorehouse,10% Student Discount,Student Beans,online at PeaksStorehouse
HelloSpace,10% Student Discount,Student Beans,online at HelloSpace
KoodakJeweller'sSupplies,Up to 15% Student Discount,Student Beans,online at KoodakJeweller'sSupplies
HTVRONT,10% Student Discount,Student Beans,online at HTVRONT
SpaceCentreSelfStorage,Student Lockers from £5 per week ,Student Beans,online at SpaceCentreSelfStorage
O'BrienStorage,50% Student Discount on self-storage,Student Beans,online at O'BrienStorage
Big&RedStorage,25% Student Discount,Student Beans,online at Big&RedStorage
Space&TimeStorage,Exclusive Student Discount,Student Beans,online at Space&TimeStorage
PlymouthSelfStorage,15% Student Discount,Student Beans,online at PlymouthSelfStorage
KangarooSelfStorage,Exclusive Student Discount,Student Beans,online at KangarooSelfStorage
BoxiStore,5% Student Discount,Student Beans,online at BoxiStore
Litecraft,10% Student Discount,Student Beans,online at Litecraft
BHS,10% Student Discount,Student Beans,online at BHS
JungleHouseplants,10% Student Discount,Student Beans,online at JungleHouseplants
MerchantandMills,10% Student Discount,Student Beans,online at MerchantandMills
TopFabric,10% Student Discount,Student Beans,online at TopFabric
Mutneys,10% Student Discount ,Student Beans,online at Mutneys
GroomersWorld,Up to 35% off Student Bundle,Student Beans,online at GroomersWorld
ClipitGrooming,15% Student Discount,Student Beans,online at ClipitGrooming
ProfessionalGroomingSupplies,10% Student Discount ,Student Beans,online at ProfessionalGroomingSupplies
EightSleep,6% Student Discount,Student Beans,online at EightSleep
WovenMonkey,10% Student Discount,Student Beans,online at WovenMonkey
TheFabricStore,15% Student Discount,Student Beans,online at TheFabricStore
TwoBeeps.co.uk,10% Student Discount,Student Beans,online at TwoBeeps.co.uk
URBANARA,11% Student Discount,Student Beans,online at URBANARA
Noah'sBox,12% Student Discount,Student Beans,online at Noah'sBox
LightStrips,15% Student Discount,Student Beans,online at LightStrips
